course,year,theoretical_content,test_content
engenharia de computação,2023,"['matemática e estatística', 'física e ciência dos materiais', 'matemática discreta e teoria dos grafos', 'pesquisa operacional e otimização', 'fundamentos de programação e linguagens de programação', 'algoritmos e estruturas de dados', 'linguagens formais e autômatos', 'engenharia de software', 'interação humano-computador', 'banco de dados', 'circuitos elétricos e eletrônicos', 'sistemas digitais e sistemas embarcados', 'arquitetura de computadores', 'sistemas operacionais', 'ciência de dados', 'processamento de sinais', 'inteligência artificial', 'automação e sistemas de controle', 'sistemas de comunicação e redes de computadores', 'segurança de sistemas de computação', 'sistemas distribuídos e processamento paralelo', 'outros']",
engenharia de computação,2019,"['matemática e estatística', 'física e ciência dos materiais', 'matemática discreta e teoria dos grafos', 'pesquisa operacional e otimização', 'fundamentos de programação e linguagens de programação', 'algoritmos e estruturas de dados', 'linguagens formais e autômatos', 'engenharia de software', 'interação humano-computador', 'banco de dados', 'circuitos elétricos e eletrônicos', 'sistemas digitais e sistemas embarcados', 'arquitetura de computadores', 'sistemas operacionais', 'análise de dados e processamento de sinais', 'inteligência artificial', 'automação industrial e sistemas de controle', 'sistemas de comunicação e redes de computadores', 'segurança de sistemas de computação', 'sistemas distribuídos e processamento paralelo', 'outros']",
engenharia de computação,2017,"['administração', 'ciências do ambiente', 'ciência e tecnologia dos materiais', 'economia', 'eletricidade aplicada', 'expressão gráfica', 'fenômenos de transporte', 'física', 'informática', 'matemática e estatística', 'mecânica dos sólidos', 'metodologia científica e tecnológica', 'química', 'linguagens formais, autômatos e computabilidade', 'compiladores', 'algoritmos e estruturas de dados', 'teoria dos grafos', 'fundamentos de programação e linguagens de programação', 'engenharia de software', 'interação humano-computador', 'banco de dados', 'inteligência artificial', 'computação gráfica', 'ética, empreendedorismo, computador e sociedade', 'sistemas operacionais', 'arquitetura de computadores', 'lógica e matemática discreta', 'pesquisa operacional e otimização', 'sistemas digitais e sistemas embarcados', 'circuitos elétricos e eletrônicos', 'análise e processamento de sinais', 'automação industrial e sistemas de controle', 'redes de computadores e sistemas distribuídos', 'outros']",
engenharia de computação,2014,"['administração e economia', 'ciências do ambiente', 'ciência e tecnologia dos materiais', 'eletricidade aplicada', 'expressão gráfica', 'fenômenos de transporte', 'física', 'informática', 'matemática e estatística', 'mecânica dos sólidos', 'metodologia científica e tecnológica', 'química', 'linguagens formais, autômatos, compiladores e computabilidade', 'algoritmos e estruturas de dados', 'fundamentos de programação e linguagens de programação', 'engenharia de software, interação humano-computador e banco de dados', 'inteligência artificial e computacional', 'computação gráfica e processamento de imagem', 'ética, computador e sociedade', 'sistemas operacionais e arquitetura de computadores', 'lógica, matemática discreta, probabilidade e estatística', 'teoria dos grafos, pesquisa operacional e otimização', 'sistemas digitais e sistemas embarcados', 'circuitos elétricos e eletrônicos', 'análise e processamento de sinais', 'automação industrial e controle de processos', 'redes de computadores, sistemas distribuídos e telecomunicações', 'outros']",
